page_num,page,title,date,type,value
0,https://www.pm.gov.au/media?page=0/,National Cabinet Statement,16 Jul 2021,Media statement,https://www.pm.gov.au/media/national-cabinet-statement-8
0,https://www.pm.gov.au/media?page=0/,"Press Conference - Kirribilli, NSW",16 Jul 2021,Transcript,https://www.pm.gov.au/media/press-conference-kirribilli-nsw-7
0,https://www.pm.gov.au/media?page=0/,Asia-Pacific Economic Cooperation (APEC) Informal Leaders' Summit,16 Jul 2021,Media statement,https://www.pm.gov.au/media/asia-pacific-economic-cooperation-apec-informal-leaders-summit
0,https://www.pm.gov.au/media?page=0/,VIC COVID-19 Support Package,15 Jul 2021,Media statement,https://www.pm.gov.au/media/vic-covid-19-support-package
0,https://www.pm.gov.au/media?page=0/,"Press Conference - Kirribilli, NSW",15 Jul 2021,Transcript,https://www.pm.gov.au/media/press-conference-kirribilli-nsw-6
0,https://www.pm.gov.au/media?page=0/,"Interview with Paul Murray, Sky News",15 Jul 2021,Transcript,https://www.pm.gov.au/media/interview-paul-murray-sky-news-6
0,https://www.pm.gov.au/media?page=0/,"Interview with Sabra Lane, ABC AM",15 Jul 2021,Transcript,https://www.pm.gov.au/media/interview-sabra-lane-abc-am-10
0,https://www.pm.gov.au/media?page=0/,Childcare gap-fee waiver for NSW families in COVID-affected areas,15 Jul 2021,Media release,https://www.pm.gov.au/media/childcare-gap-fee-waiver-nsw-families-covid-affected-areas
0,https://www.pm.gov.au/media?page=0/,Update on NSW COVID-19 Disaster Payments for extension of Greater Sydney lockdown,14 Jul 2021,Media statement,https://www.pm.gov.au/media/update-nsw-covid-19-disaster-payments-extension-greater-sydney-lockdown
1,https://www.pm.gov.au/media?page=1/,Retirement of The Hon. Tony Smith MP,14 Jul 2021,Media statement,https://www.pm.gov.au/media/retirement-hon-tony-smith-mp
1,https://www.pm.gov.au/media?page=1/,"Interview with Ray Hadley, 2GB",14 Jul 2021,Transcript,https://www.pm.gov.au/media/interview-ray-hadley-2gb-140721
1,https://www.pm.gov.au/media?page=1/,"Interview with Allison Langdon, Today Show",14 Jul 2021,Transcript,https://www.pm.gov.au/media/interview-allison-langdon-today-show
1,https://www.pm.gov.au/media?page=1/,"Interview with John Laws, 2SM",14 Jul 2021,Transcript,https://www.pm.gov.au/media/interview-john-laws-2sm-3
1,https://www.pm.gov.au/media?page=1/,"Interview with David Koch, Sunrise",14 Jul 2021,Transcript,https://www.pm.gov.au/media/interview-david-koch-sunrise-140720
1,https://www.pm.gov.au/media?page=1/,"Interview with Jim Wilson, 2GB",13 Jul 2021,Transcript,https://www.pm.gov.au/media/interview-jim-wilson-2gb-5
1,https://www.pm.gov.au/media?page=1/,"Press Conference - Kirribilli, NSW",13 Jul 2021,Transcript,https://www.pm.gov.au/media/press-conference-kirribilli-nsw-5
1,https://www.pm.gov.au/media?page=1/,NSW COVID-19 Support Package,13 Jul 2021,Media release,https://www.pm.gov.au/media/nsw-covid-19-support-package
1,https://www.pm.gov.au/media?page=1/,NSW COVID-19 Support Package,13 Jul 2021,Media statement,https://www.pm.gov.au/media/nsw-covid-19-support-package-0
